PR_NUM,RT_COD,RT_POR,RT_MON,RT_KEY,RT_ACU,RT_IVA
64,50,0.0,19000.0,000006450,0,0
65,50,0.0,399.99,000006550,0,0
66,50,2.5,19000.0,000006650,0,0
67,50,0.7,19000.0,000006750,0,0
68,50,0.0,19000.0,000006850,0,0
69,50,1.75,19000.0,000006950,0,0
70,50,0.0,19000.0,000007050,0,0
71,50,0.7,19000.0,000007150,0,0
72,50,0.7,19000.0,000007250,0,0
75,50,1.6,19000.0,000007550,0,0
76,50,0.3,19000.0,000007650,0,0
77,50,2.5,19000.0,000007750,0,0
79,50,0.0,19000.0,000007950,0,0
80,50,0.0,19000.0,000008050,0,0
81,50,0.0,19000.0,000008150,0,0
82,50,0.0,19000.0,000008250,0,0
83,50,0.0,19000.0,000008350,0,0
84,50,1.2,19000.0,000008450,0,0
85,50,3.0,19000.0,000008550,0,0
87,50,0.4,19000.0,000008750,0,0
88,50,2.5,19000.0,000008850,0,0
89,50,4.0,19000.0,000008950,0,0
90,50,0.0,19000.0,000009050,0,0
91,50,0.0,399.99,000009150,0,0
93,50,0.0,19000.0,000009350,0,0
94,50,0.9,19000.0,000009450,0,0
95,50,1.75,19000.0,000009550,0,0
97,50,0.0,399.99,000009750,0,0
98,50,1.75,19000.0,000009850,0,0
99,50,0.7,19000.0,000009950,0,0
104,50,0.7,19000.0,000010450,0,0
105,50,2.0,19000.0,000010550,0,0
106,50,2.5,19000.0,000010650,0,0
107,50,1.75,19000.0,000010750,0,0
108,50,1.3,19000.0,000010850,0,0
109,50,0.0,19000.0,000010950,0,0
110,50,0.0,399.99,000011050,0,0
112,50,0.0,19000.0,000011250,0,0
113,50,2.5,19000.0,000011350,0,0
114,50,5.0,19000.0,000011450,0,0
115,50,0.0,19000.0,000011550,0,0
116,50,0.0,19000.0,000011650,0,0
117,50,0.0,19000.0,000011750,0,0
118,50,0.0,19000.0,000011850,0,0
120,50,3.0,19000.0,000012050,0,0
122,50,0.0,19000.0,000012250,0,0
123,50,5.0,19000.0,000012350,0,0
124,50,0.0,399.99,000012450,0,0
125,50,2.5,19000.0,000012550,0,0
127,50,0.0,399.99,000012750,0,0
129,50,0.0,19000.0,000012950,0,0
130,50,0.9,19000.0,000013050,0,0
131,50,2.5,19000.0,000013150,0,0
132,50,0.0,19000.0,000013250,0,0
133,50,0.9,19000.0,000013350,0,0
135,50,0.7,19000.0,000013550,0,0
136,50,0.7,19000.0,000013650,0,0
137,50,0.0,19000.0,000013750,0,0
139,50,0.0,19000.0,000013950,0,0
140,50,2.5,19000.0,000014050,0,0
141,50,1.75,19000.0,000014150,0,0
142,50,0.9,19000.0,000014250,0,0
143,50,1.75,19000.0,000014350,0,0
145,50,0.0,19000.0,000014550,0,0
146,50,0.0,399.99,000014650,0,0
148,50,3.0,19000.0,000014850,0,0
149,50,0.2,19000.0,000014950,0,0
150,50,0.0,19000.0,000015050,0,0
151,50,0.1,19000.0,000015150,0,0
154,50,3.5,19000.0,000015450,0,0
155,50,1.75,19000.0,000015550,0,0
156,50,2.5,19000.0,000015650,0,0
157,50,2.5,19000.0,000015750,0,0
158,50,1.75,19000.0,000015850,0,0
159,50,5.0,19000.0,000015950,0,0
161,50,0.0,399.99,000016150,0,0
163,50,0.7,19000.0,000016350,0,0
164,50,0.0,399.99,000016450,0,0
166,50,0.0,19000.0,000016650,0,0
167,50,0.0,19000.0,000016750,0,0
168,50,5.0,19000.0,000016850,0,0
169,50,2.5,19000.0,000016950,0,0
170,50,1.2,19000.0,000017050,0,0
173,50,2.5,19000.0,000017350,0,0
174,50,1.75,19000.0,000017450,0,0
175,50,2.5,19000.0,000017550,0,0
176,50,2.5,19000.0,000017650,0,0
180,50,0.0,19000.0,000018050,0,0
182,50,2.5,19000.0,000018250,0,0
186,50,0.0,19000.0,000018650,0,0
188,50,0.7,19000.0,000018850,0,0
189,50,2.5,19000.0,000018950,0,0
190,50,0.9,19000.0,000019050,0,0
193,50,0.9,19000.0,000019350,0,0
194,50,2.5,19000.0,000019450,0,0
195,50,0.0,19000.0,000019550,0,0
196,50,0.0,19000.0,000019650,0,0
197,50,0.0,19000.0,000019750,0,0
198,50,2.5,19000.0,000019850,0,0
199,50,2.5,19000.0,000019950,0,0
200,50,0.7,19000.0,000020050,0,0
202,50,0.0,399.99,000020250,0,0
203,50,0.0,19000.0,000020350,0,0
204,50,2.5,19000.0,000020450,0,0
205,50,5.0,19000.0,000020550,0,0
206,50,0.0,19000.0,000020650,0,0
208,50,2.0,19000.0,000020850,0,0
